symbol,year,enterpriseValue,averagePrice,nextYearGrowth,ROA,Sales_Margin,ROCE,EV/EBIT,PER,Dividend_Yield,Acid_Test,RSCD
ALG,2016,794264400.0000001,61.75336666666667,0.4753076890274807,0.0181108622660897,0.020011885201267125,0.2392500316175541,0.0857434879367626,0.05403888910780032,0.0055516541338366966,1.0,1.0
ALG,2015,683142900.0000001,51.45990000000001,0.2000288898086988,0.0178992482224612,0.01890908925540345,0.12675428020255605,0.10772416722767664,0.07633304590741351,0.006409227025668176,1.0,1.0
ALIM,2018,1093973921.9265003,15.256750000000002,-0.29746942610101546,-0.0756912101722481,-0.05146902278049819,-0.07453854928189972,-0.01051304767827245,-0.01532208092610429,0.0,1.0,-1.0
ALIM,2017,1419553677.75625,20.38125,-0.2514320760502913,-0.09178709698952006,-0.11452996212965025,-0.11595019397535372,-0.011453599997499928,-0.015611410732127197,0.0,1.0,-1.0
ALIM,2016,1599323011.0,24.625,-0.1723350253807106,-0.11809224109698273,-0.20277138612996246,-0.2062075712210595,-0.01739736113882501,-0.02076946034809597,0.0,1.0,-1.0
ALIM,2015,2655755657.1875005,59.68750000000001,-0.587434554973822,-0.10869488110776912,-0.4345195650236207,-1.0,-0.00972303303962309,-0.011407945360541008,0.0,0.5460020534395111,-0.3240306186472581
AAON,2018,1841011043.1317496,35.448375,0.3053221762633693,0.034533107071126584,0.03277185923626618,1.0,0.04048862187876927,0.023099231420256446,0.00907648086061378,0.6578706496640386,1.0
AAON,2017,1766216108.10365,34.21698333333333,0.035987733187077195,0.04590774310937395,0.04630125458996328,1.0,0.05098923035907165,0.03038215844770887,0.007617003025267831,0.828333166883052,1.0
AAON,2016,1383844070.7526,27.009325,0.2668581437460333,0.05201730791720267,0.05202069394781458,1.0,0.06715641015064515,0.037533751507924665,0.008913703426904469,1.0,1.0
AAON,2015,1121038633.42595,21.53065,0.2544593405215355,0.04909514116141445,0.04969597787510699,1.0,0.06349290548754459,0.04006340919650336,0.010388205100659121,0.9871927763573124,1.0
AKR,2018,3542239463.7104,23.976116666666666,0.10279465607093732,0.0016608020652827387,0.026258232810730208,0.008511547487941949,0.015587314343272781,0.013449205706293623,0.045456464033435534,-0.0485443783030131,0.39450970304952987
AKR,2017,3509159631.4909997,25.58065,-0.06272449423033942,0.0007943948950658886,0.017300868689613284,0.020418043703787275,0.033831176824964705,0.005876780121713571,0.046479521231229066,0.21308140799721534,0.5907711140747228
